"","Taxa","Identifier","Publication.Date.Authorship","Origin","Study.site","LatitudeSS","LongitudeSS","Year.of.treatment","In.situ.or.Ex.situ","Treatment.group.size","Life.Stage","Intervention.category.1","Treatment.used.1","Specific.treatment.used.1","Intervention.category.2","Treatment.used.2","Specific.treatment.used.2","Duration.of.intervention","Long.term.monitoring","Habitat.or.Individual","Scalability","Efficacy.Matrix","Efficacy.of.intervention","Trend.in.efficacy.score","Adverse.Effects","Usability","Therapeutic.or.Prophylactic","Dosage","Comments.Extras","Year.of.publication","Intervention.category.1.itra","PhyloName","Genus","Family","Order","SVLMx","Microhabitat","ClutchMn","Activity","Latitude","Climate","Habitat","TaxaGroup"
"37","Alytes obstetricans",87,"2012 - Woodhams et al ","Switzerland",NA,"","",2010,"Ex situ",1,"Larvae","Chemical","Antifungal","Mandipropamid",NA,NA,NA,7,"N","H","Y","Infection matrix",4,NA,0,2,"Therapeutic","0.1 mg l-1","Since there was no average log transformed average of zoospore counts for the three controls, it was averaged from the figure (2.83 Approx). The infection matrix was used, but since the results were estimated from the figure it received a 2 for utility.",2012,"Other chemical","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"38","Alytes obstetricans",9,"2020 - Fernandez-Loras, Boyero, Bosch","Aragon, Spain","Jorcas, Aragon, Spain","41°23'08""N","0°42'04""W",2012,"In situ",NA,"Larvae","Population demographic","Removal","Total removal",NA,NA,NA,NA,"Y","I","N","Infection matrix",4,"No change",0,1,"Therapeutic",NA,"There were no treatment group size because all of the larvae were removed, not a predetermined amount, and the total number of removed indiviudals was not reported. In addition, the data reported was the Bd load in the larvae present, which some years were missing data and therefore difficult to compare between sites, and thus the paper itself states that while they acheived zero Bd detection, it was not a sucessful erradication due to the increases in other sites. Removing all the larvae from a population does not seem as though it is a feasible intervention since it would need to be cyclical and the larvae would need to be housed until juveniles and then released, receiving a N for scalability. No intervention treatment duration was applicable because all the larvae were removed for the duration of the year. The infection load matrix was used, and because there was zero Bd load, this received a 4. ",2020,"Population demographic","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"39","Alytes obstetricans",88,"2012 - Woodhams et al ","Switzerland",NA,"","",2010,"Ex situ",1,"Larvae","Chemical","Antifungal","Mandipropamid",NA,NA,NA,7,"N","H","Y","Infection matrix",0,NA,0,2,"Therapeutic","0.15 mg l-1","Since there was no average log transformed average of zoospore counts for the three controls, it was averaged from the figure (2.83 Approx). The infection matrix was used, but since the results were estimated from the figure it received a 2 for utility.",2012,"Other chemical","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"40","Alytes obstetricans",127,"2011 - Geiger et al ","Zunzgen, Switzerland","University of Zurich, Switzerland","","",NA,"Ex situ",9,"Larvae","Climate","Temperature","Increased temperature",NA,NA,NA,3,"N","H","N","Prevelance matrix",2,NA,0,0,"Therapeutic","26.2◦C","This study had 3 treatment groups: low, medium and high temperatures. Only 1 indivudal died during treatment. The paper provided only the proportion of the Bd negative subjects within each group (5/8 tested negative), so in the high temp is was 62.5% of the population, prevelance matrix. ",2011,"Climate","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"41","Alytes obstetricans",85,"2012 - Woodhams et al ","Switzerland",NA,"","",2010,"Ex situ",1,"Larvae","Chemical","Antifungal","Mandipropamid",NA,NA,NA,7,"N","H","Y","Infection matrix",0,NA,0,2,"Therapeutic","0.06 mg l-1","Since there was no average log transformed average of zoospore counts for the three controls, it was averaged from the figure (2.83 Approx). The infection matrix was used, but since the results were estimated from the figure it received a 2 for utility.",2012,"Other chemical","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"42","Alytes obstetricans",86,"2012 - Woodhams et al ","Switzerland",NA,"","",2010,"Ex situ",1,"Larvae","Chemical","Antifungal","Mandipropamid",NA,NA,NA,7,"N","H","Y","Infection matrix",0,NA,0,2,"Therapeutic","0.08 mg l-1","Since there was no average log transformed average of zoospore counts for the three controls, it was averaged from the figure (2.83 Approx). The infection matrix was used, but since the results were estimated from the figure it received a 2 for utility.",2012,"Other chemical","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"43","Alytes obstetricans",4,"2020 - Fernandez-Loras, Boyero, Bosch","Aragon, Spain","Cebo, Aragon, Spain","41°23'08""N","0°42'04""W",2012,"In situ",NA,"Larvae","Population demographic","Removal","Total removal","Habitat","Drying","Drying",20,"Y","B","N","Infection matrix",4,"No change",0,1,"Therapeutic",NA,"There were no treatment group size because all of the larvae were removed, not a predetermined amount, and the total number of removed indiviudals was not reported. In addition, the data reported was the Bd load in the larvae present, which some years were missing data and therefore difficult to compare between sites, and thus the paper itself states that while they acheived zero Bd detection, it was not a sucessful erradication due to the increases in other sites. Removing all the larvae from a population does not seem as though it is a feasible intervention since it would need to be cyclical and the larvae would need to be housed until juveniles and then released, receiving a N for scalability. The intervention duration was marked as 20 days because that is how long the habitat was dried for, the removal was not considered although it was performed for only one season. The infection load matrix was used, and because there was zero Bd load, this received a 4. ",2020,"Population demographic","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"44","Alytes obstetricans",5,"2020 - Fernandez-Loras, Boyero, Bosch","Aragon, Spain","Gil, Aragon, Spain","41°23'08""N","0°42'04""W",2012,"In situ",NA,"Larvae","Population demographic","Removal","Total removal","Habitat","Drying","Drying",20,"Y","B","N","Infection matrix",4,"Decrease in score",0,1,"Therapeutic",NA,"There were no treatment group size because all of the larvae were removed, not a predetermined amount, and the total number of removed indiviudals was not reported. In addition, the data reported was the Bd load in the larvae present, which some years were missing data and therefore difficult to compare between sites, and thus the paper itself states that while they acheived zero Bd detection, it was not a sucessful erradication due to the increases in other sites. Removing all the larvae from a population does not seem as though it is a feasible intervention since it would need to be cyclical and the larvae would need to be housed until juveniles and then released, receiving a N for scalability. The intervention duration was marked as 20 days because that is how long the habitat was dried for, the removal was not considered although it was performed for only one season. The infection load matrix was used, and because there was zero Bd load, this received a 4. ",2020,"Population demographic","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"45","Alytes obstetricans",6,"2020 - Fernandez-Loras, Boyero, Bosch","Aragon, Spain","Blandina, Aragon, Spain","41°23'08""N","0°42'04""W",2012,"In situ",NA,"Larvae","Population demographic","Removal","Total removal","Habitat","Fencing","Fencing",45,"Y","B","N","Infection matrix",4,"Decrease in score",0,1,"Therapeutic",NA,"There were no treatment group size because all of the larvae were removed, not a predetermined amount, and the total number of removed indiviudals was not reported. In addition, the data reported was the Bd load in the larvae present, which some years were missing data and therefore difficult to compare between sites, and thus the paper itself states that while they acheived zero Bd detection, it was not a sucessful erradication due to the increases in other sites. Removing all the larvae from a population does not seem as though it is a feasible intervention since it would need to be cyclical and the larvae would need to be housed until juveniles and then released, receiving a N for scalability. The intervention duration was marked as 45 days because that is how long the habitat was fenced off for, the removal was not considered although it was performed for only one season. The infection load matrix was used, and because there was zero Bd load found in 2013, this received a 4. The following two years, the Bd load increased. ",2020,"Population demographic","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"46","Alytes obstetricans",92,"2012 - Woodhams et al ","Switzerland",NA,"","",2010,"Ex situ",1,"Larvae","Chemical","Antifungal","Mandipropamid",NA,NA,NA,7,"N","H","Y","Infection matrix",1,NA,0,2,"Therapeutic","0.8 mg l-1","Since there was no average log transformed average of zoospore counts for the three controls, it was averaged from the figure (2.83 Approx). The infection matrix was used, but since the results were estimated from the figure it received a 2 for utility.",2012,"Other chemical","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"47","Alytes obstetricans",97,"2012 - Woodhams et al ","Switzerland",NA,"","",2010,"Ex situ",1,"Larvae","Chemical","Antifungal","Mandipropamid",NA,NA,NA,7,"N","H","Y","Infection matrix",0,NA,0,2,"Therapeutic","1.8 mg l-1","Since there was no average log transformed average of zoospore counts for the three controls, it was averaged from the figure (2.83 Approx). The infection matrix was used, but since the results were estimated from the figure it received a 2 for utility.",2012,"Other chemical","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"48","Alytes obstetricans",98,"2012 - Woodhams et al ","Switzerland",NA,"","",2010,"Ex situ",1,"Larvae","Chemical","Antifungal","Mandipropamid",NA,NA,NA,7,"N","H","Y","Infection matrix",4,NA,0,2,"Therapeutic","2 mg l-1","Since there was no average log transformed average of zoospore counts for the three controls, it was averaged from the figure (2.83 Approx). The infection matrix was used, but since the results were estimated from the figure it received a 2 for utility.",2012,"Other chemical","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"49","Alytes obstetricans",123,"2017 - Geiger et al ","Lucerne, Switzerland","Hergiswald, Lucerne, Switzerland","47°01'17""N","8°13'57""E",2011,"In situ",NA,"Larvae","Chemical","Other"," General Tonic® ",NA,NA,NA,24,"N","H","Y","Infection matrix",2,NA,0,1,"Therapeutic","0.6 ml/L","There was no information in the paper or supplementary documents regarding the number of subjects treated in each of the ponds. The antifungal used was General Tonic, and no further information about the composition of the antifungal was provided. This study captured, contained for 8 days at a time, and then released the individuals back into the locations from where they were initially captured. These capture and release treatments occured over the duration of 4 months, (May, June, July and September).The data was provided by site, and the infection matrix was used. ",2017,"Other chemical","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"50","Alytes obstetricans",84,"2012 - Woodhams et al ","Switzerland",NA,"","",2010,"Ex situ",1,"Larvae","Chemical","Antifungal","Mandipropamid",NA,NA,NA,7,"N","H","Y","Infection matrix",0,NA,0,2,"Therapeutic","0.04 mg l-1","Since there was no average log transformed average of zoospore counts for the three controls, it was averaged from the figure (2.83 Approx). The infection matrix was used, but since the results were estimated from the figure it received a 2 for utility.",2012,"Other chemical","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"51","Alytes obstetricans",178,"2013 - Geiger & Schmidt","Chalchofen, Switzerland","University of Zurich, Switzerland","","",2011,"Ex situ",NA,"Larvae","Chemical","Disinfectant","Virkon Aquatic®",NA,NA,NA,7,"N","H","Y","Infection matrix",0,NA,0,1,"Therapeutic","4 mg l-1","The results were assessed from the figure using the infection matrix . There was no information about the number of subjects per trial group.",2013,"Other chemical","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
